CaseID,Activity,Resource,completeTimestamp
4507000322_00140,Create Purchase Order Item,user_072,323
4507000322_00140,Change Quantity,user_072,1214
4507000322_00140,Record Goods Receipt,batch_06,1686
4507000322_00150,Create Purchase Order Item,user_072,323
4507000322_00150,Change Quantity,user_072,1214
4507000322_00150,Record Goods Receipt,batch_06,1686
4507000322_00160,Create Purchase Order Item,user_072,323
4507000322_00160,Change Quantity,user_072,1214
4507000322_00160,Record Goods Receipt,batch_06,1686
4507000322_00170,Create Purchase Order Item,user_072,323
4507000322_00170,Change Quantity,user_072,1214
4507000322_00170,Record Goods Receipt,batch_06,1686
4507000322_00180,Create Purchase Order Item,user_072,323
4507000322_00180,Change Quantity,user_072,1214
4507000322_00180,Record Goods Receipt,batch_06,2036
4507000322_00190,Create Purchase Order Item,user_072,323
4507000322_00190,Change Quantity,user_072,1214
4507000322_00190,Record Goods Receipt,batch_06,2171
4507000322_00200,Create Purchase Order Item,user_072,323
4507000322_00200,Change Quantity,user_072,1214
4507000322_00200,Vendor creates invoice,NONE,1704
4507000322_00200,Record Goods Receipt,batch_06,1883
4507000322_00210,Create Purchase Order Item,user_072,323
4507000322_00210,Change Quantity,user_072,1214
4507000322_00210,Record Goods Receipt,batch_06,2036
4507000322_00220,Create Purchase Order Item,user_072,323
4507000322_00220,Change Quantity,user_072,1214
4507000322_00220,Vendor creates invoice,NONE,1704
4507000322_00220,Record Goods Receipt,batch_06,1883
4507000322_00230,Create Purchase Order Item,user_072,323
4507000322_00230,Change Quantity,user_072,1214
4507000322_00230,Record Goods Receipt,batch_06,1686
4507000322_00240,Create Purchase Order Item,user_072,323
4507000322_00240,Change Quantity,user_072,1214
4507000322_00240,Vendor creates invoice,NONE,1704
4507000322_00240,Record Goods Receipt,batch_06,1883
4507000322_00250,Create Purchase Order Item,user_072,323
4507000322_00250,Change Quantity,user_072,1214
4507000322_00250,Record Goods Receipt,batch_06,1686
4507000322_00260,Create Purchase Order Item,user_072,323
4507000322_00260,Change Quantity,user_072,1214
4507000322_00260,Record Goods Receipt,batch_06,1686
4507000323_00050,Create Purchase Order Item,user_038,323
4507000323_00050,Record Goods Receipt,batch_02,563
4507000339_00030,Create Purchase Order Item,user_079,324
4507000339_00030,Vendor creates invoice,NONE,672
4507000339_00030,Record Goods Receipt,user_080,686
4507000339_00050,Create Purchase Order Item,user_079,324
4507000339_00050,Vendor creates invoice,NONE,672
4507000339_00050,Record Goods Receipt,user_080,686
4507000339_00110,Create Purchase Order Item,user_079,324
4507000339_00110,Vendor creates invoice,NONE,672
4507000339_00110,Record Goods Receipt,user_080,686
4507000339_00120,Create Purchase Order Item,user_079,324
4507000339_00120,Vendor creates invoice,NONE,672
4507000339_00120,Record Goods Receipt,user_080,686
4507000378_00010,Create Purchase Order Item,user_091,325
4507000378_00010,Vendor creates invoice,NONE,816
4507000378_00010,Record Goods Receipt,user_032,876
4507000417_00010,Create Purchase Order Item,user_091,326
4507000417_00010,Vendor creates invoice,NONE,720
4507000417_00010,Record Goods Receipt,user_031,827
4507000418_00010,Create Purchase Order Item,user_091,326
4507000418_00010,Record Goods Receipt,user_031,809
4507000421_00010,Create Purchase Order Item,user_091,327
4507000421_00010,Change Approval for Purchase Order,user_091,327
4507000421_00010,Vendor creates invoice,NONE,720
4507000421_00010,Record Goods Receipt,user_031,1021
4507000422_00010,Create Purchase Order Item,user_091,327
4507000422_00010,Change Approval for Purchase Order,user_091,327
4507000422_00010,Vendor creates invoice,NONE,816
4507000422_00010,Record Goods Receipt,user_031,899
4507000425_00010,Create Purchase Order Item,user_091,327
4507000425_00010,Vendor creates invoice,NONE,840
4507000425_00010,Record Goods Receipt,user_031,901
4507000481_00010,Create Purchase Order Item,user_038,343
4507000481_00010,Change Price,user_038,343
4507000481_00010,Change Quantity,user_038,343
4507000481_00010,Vendor creates invoice,NONE,384
4507000481_00010,Record Goods Receipt,user_029,395
4507000481_00030,Create Purchase Order Item,user_038,343
4507000481_00030,Vendor creates invoice,NONE,384
4507000481_00030,Record Goods Receipt,user_029,395
4507000594_00010,Create Purchase Order Item,user_138,346
4507000594_00010,Record Goods Receipt,user_138,346
4507000594_00030,Create Purchase Order Item,user_138,346
4507000594_00030,Record Goods Receipt,user_138,346
4507000594_00040,Create Purchase Order Item,user_138,346
4507000594_00040,Record Goods Receipt,user_138,346
4507000615_00010,Create Purchase Order Item,user_141,347
4507000615_00010,Vendor creates invoice,NONE,744
4507000615_00010,Record Goods Receipt,user_044,804
4507000754_00010,Create Purchase Order Item,user_043,352
4507000754_00010,Vendor creates invoice,NONE,1056
4507000754_00010,Record Goods Receipt,user_044,1644
4507000755_00010,Create Purchase Order Item,user_043,352
4507000755_00010,Vendor creates invoice,NONE,816
4507000755_00010,Record Goods Receipt,user_044,827
4507000756_00010,Create Purchase Order Item,user_043,352
4507000756_00010,Vendor creates invoice,NONE,1056
4507000756_00010,Change Quantity,user_043,1644
4507000756_00010,Record Goods Receipt,user_044,1645
4507000757_00010,Create Purchase Order Item,user_043,352
4507000757_00010,Vendor creates invoice,NONE,1176
4507000757_00010,Record Goods Receipt,user_044,1232
4507000798_00010,Create Purchase Order Item,user_043,353
4507000798_00010,Vendor creates invoice,NONE,480
4507000798_00010,Record Goods Receipt,user_113,536
4507000803_00010,Create Purchase Order Item,user_043,353
4507000803_00010,Vendor creates invoice,NONE,528
4507000803_00010,Record Goods Receipt,user_113,536
4507000854_00010,Create Purchase Order Item,user_072,368
4507000854_00010,Record Goods Receipt,batch_06,1166
4507000855_00430,Create Purchase Order Item,user_036,368
4507000855_00430,Vendor creates invoice,NONE,480
4507000855_00430,Record Goods Receipt,user_029,511
4507000857_00010,Create Purchase Order Item,user_072,368
4507000857_00010,Record Goods Receipt,batch_06,500
4507000858_00010,Create Purchase Order Item,user_072,368
4507000858_00010,Record Goods Receipt,batch_06,500
4507000861_00010,Create Purchase Order Item,user_072,368
4507000861_00010,Record Goods Receipt,batch_06,500
4507000862_00020,Create Purchase Order Item,user_036,368
4507000862_00020,Record Goods Receipt,user_029,464
4507000863_00060,Create Purchase Order Item,user_036,368
4507000863_00060,Vendor creates invoice,NONE,408
4507000863_00060,Record Goods Receipt,user_029,473
4507000863_00070,Create Purchase Order Item,user_036,368
4507000863_00070,Vendor creates invoice,NONE,408
4507000863_00070,Record Goods Receipt,user_029,473
4507000863_00080,Create Purchase Order Item,user_036,368
4507000863_00080,Vendor creates invoice,NONE,408
4507000863_00080,Record Goods Receipt,user_029,473
4507000863_00170,Create Purchase Order Item,user_036,368
4507000863_00170,Vendor creates invoice,NONE,408
4507000863_00170,Record Goods Receipt,user_029,473
4507000863_00180,Create Purchase Order Item,user_036,368
4507000863_00180,Vendor creates invoice,NONE,408
4507000863_00180,Record Goods Receipt,user_029,473
4507000863_00190,Create Purchase Order Item,user_036,368
4507000863_00190,Vendor creates invoice,NONE,408
4507000863_00190,Record Goods Receipt,user_029,473
4507000873_00010,Create Purchase Order Item,user_072,369
4507000873_00010,Record Goods Receipt,batch_06,636
4507000907_00010,Create Purchase Order Item,user_172,370
4507000907_00010,Record Goods Receipt,batch_12,539
4507000907_00020,Create Purchase Order Item,user_172,370
4507000907_00020,Record Goods Receipt,user_172,6518
4507000916_00040,Create Purchase Order Item,user_172,370
4507000916_00040,Vendor creates invoice,NONE,552
4507000916_00040,Vendor creates invoice,NONE,648
4507000916_00040,Record Goods Receipt,user_173,806
4507000937_00010,Create Purchase Order Item,user_091,370
4507000937_00010,Vendor creates invoice,NONE,1056
4507000937_00010,Record Goods Receipt,user_031,1162
4507000983_00010,Create Purchase Requisition Item,user_154,360
4507000983_00010,Create Purchase Order Item,user_079,373
4507000983_00010,Vendor creates invoice,NONE,744
4507000983_00010,Record Goods Receipt,user_080,805
4507001008_00010,Create Purchase Order Item,user_142,374
4507001008_00010,Vendor creates invoice,NONE,912
4507001008_00010,Record Goods Receipt,user_080,974
4507001065_00010,Create Purchase Order Item,user_091,375
4507001065_00010,Vendor creates invoice,NONE,888
4507001065_00010,Record Goods Receipt,user_031,1000
4507001077_00010,Create Purchase Order Item,user_100,376
4507001077_00010,Vendor creates invoice,NONE,1488
4507001077_00010,Record Goods Receipt,user_186,1505
4507001099_00070,Create Purchase Order Item,user_191,378
4507001099_00070,Change Price,user_039,491
4507001099_00070,Record Goods Receipt,user_188,545
4507001099_00170,Create Purchase Order Item,user_191,378
4507001099_00170,Change Price,user_039,491
4507001099_00170,Record Goods Receipt,user_188,545
4507001123_00040,Create Purchase Order Item,user_038,391
4507001123_00040,Record Goods Receipt,user_029,562
4507001124_00070,Create Purchase Order Item,user_038,391
4507001124_00070,Vendor creates invoice,NONE,480
4507001124_00070,Record Goods Receipt,user_029,487
4507001124_00140,Create Purchase Order Item,user_038,391
4507001124_00140,Change Price,user_038,394
4507001124_00140,Vendor creates invoice,NONE,480
4507001124_00140,Record Goods Receipt,user_029,487
4507001130_00020,Create Purchase Order Item,user_038,391
4507001130_00020,Record Goods Receipt,user_029,497
4507001146_00010,Create Purchase Order Item,user_138,392
4507001146_00010,Record Goods Receipt,user_138,392
4507001188_00030,Create Purchase Order Item,user_036,394
4507001188_00030,Record Goods Receipt,user_070,535
4507001212_00010,Create Purchase Requisition Item,user_154,384
4507001212_00010,Create Purchase Order Item,user_079,394
4507001212_00010,Vendor creates invoice,NONE,576
4507001212_00010,Record Goods Receipt,user_080,631
4507001236_00010,Create Purchase Order Item,user_079,397
4507001236_00010,Record Goods Receipt,user_130,801
4507001236_00020,Create Purchase Order Item,user_079,397
4507001236_00020,Record Goods Receipt,user_130,801
4507001236_00060,Create Purchase Order Item,user_079,397
4507001236_00060,Record Goods Receipt,user_130,899
4507001236_00070,Create Purchase Order Item,user_079,397
4507001236_00070,Record Goods Receipt,user_130,899
4507001236_00080,Create Purchase Order Item,user_079,397
4507001236_00080,Record Goods Receipt,user_130,899
4507001236_00090,Create Purchase Order Item,user_079,397
4507001236_00090,Record Goods Receipt,user_130,899
4507001236_00100,Create Purchase Order Item,user_079,397
4507001236_00100,Record Goods Receipt,user_130,899
4507001238_00010,Create Purchase Order Item,user_079,397
4507001238_00010,Record Goods Receipt,user_130,683
4507001238_00260,Create Purchase Order Item,user_147,1545
4507001238_00260,Record Goods Receipt,batch_06,2534
4507001239_00150,Create Purchase Order Item,user_079,397
4507001239_00150,Record Goods Receipt,user_130,853
4507001242_00020,Create Purchase Order Item,user_079,397
4507001242_00020,Record Goods Receipt,user_130,998
4507001242_00070,Create Purchase Order Item,user_079,397
4507001242_00070,Record Goods Receipt,user_130,851
4507001258_00010,Create Purchase Order Item,user_138,398
4507001258_00010,Record Goods Receipt,user_138,398
4507001258_00020,Create Purchase Order Item,user_138,398
4507001258_00020,Record Goods Receipt,user_138,398
4507001266_00010,Create Purchase Order Item,user_079,398
4507001266_00010,Vendor creates invoice,NONE,1008
4507001266_00010,Record Goods Receipt,user_130,1166
4507001266_00030,Create Purchase Order Item,user_079,398
4507001266_00030,Vendor creates invoice,NONE,576
4507001266_00030,Record Goods Receipt,user_130,657
4507001267_00020,Create Purchase Order Item,user_079,398
4507001267_00020,Record Goods Receipt,user_130,853
4507001274_00010,Create Purchase Order Item,user_141,399
4507001274_00010,Vendor creates invoice,NONE,648
4507001274_00010,Record Goods Receipt,user_044,876
4507001280_00010,Create Purchase Order Item,user_141,399
4507001280_00010,Vendor creates invoice,NONE,1032
4507001280_00010,Record Goods Receipt,user_044,1141
4507001285_00010,Create Purchase Order Item,user_079,399
4507001285_00010,Vendor creates invoice,NONE,912
4507001285_00010,Record Goods Receipt,user_130,973
4507001285_00030,Create Purchase Order Item,user_079,399
4507001285_00030,Change Quantity,user_147,1185
4507001285_00030,Vendor creates invoice,NONE,1344
4507001285_00030,Record Goods Receipt,batch_06,1549
4507001285_00040,Create Purchase Order Item,user_079,399
4507001285_00040,Vendor creates invoice,NONE,1344
4507001285_00040,Record Goods Receipt,batch_06,1549
4507001285_00050,Create Purchase Order Item,user_079,399
4507001285_00050,Vendor creates invoice,NONE,912
4507001285_00050,Record Goods Receipt,user_130,973
4507001286_00020,Create Purchase Order Item,user_079,399
4507001286_00020,Vendor creates invoice,NONE,504
4507001286_00020,Record Goods Receipt,user_130,538
4507001290_00020,Create Purchase Order Item,user_079,400
4507001290_00020,Vendor creates invoice,NONE,552
4507001290_00020,Record Goods Receipt,user_130,559
4507001290_00070,Create Purchase Order Item,user_079,400
4507001290_00070,Vendor creates invoice,NONE,528
4507001290_00070,Record Goods Receipt,user_130,537
4507001290_00130,Create Purchase Order Item,user_079,400
4507001290_00130,Vendor creates invoice,NONE,552
4507001290_00130,Record Goods Receipt,user_130,559
4507001290_00160,Create Purchase Order Item,user_079,400
4507001290_00160,Vendor creates invoice,NONE,528
4507001290_00160,Record Goods Receipt,user_130,537
4507001292_00060,Create Purchase Order Item,user_079,400
4507001292_00060,Record Goods Receipt,user_130,687
4507001335_00020,Create Purchase Order Item,user_040,463
4507001335_00020,Vendor creates invoice,NONE,480
4507001335_00020,Record Goods Receipt,user_029,497
4507001339_00010,Create Purchase Order Item,user_072,463
4507001339_00010,Record Goods Receipt,batch_06,521
4507001339_00020,Create Purchase Order Item,user_072,463
4507001339_00020,Record Goods Receipt,batch_06,521
4507001339_00030,Create Purchase Order Item,user_072,463
4507001339_00030,Record Goods Receipt,batch_06,521
4507001339_00040,Create Purchase Order Item,user_072,463
4507001339_00040,Record Goods Receipt,batch_06,521
4507001341_00010,Create Purchase Order Item,user_072,463
4507001341_00010,Record Goods Receipt,batch_06,500
4507001343_00050,Create Purchase Order Item,user_038,464
4507001343_00050,Change Price,user_038,470
4507001343_00050,Vendor creates invoice,NONE,504
4507001343_00050,Record Goods Receipt,user_029,511
4507001343_00060,Create Purchase Order Item,user_038,464
4507001343_00060,Vendor creates invoice,NONE,504
4507001343_00060,Record Goods Receipt,user_029,511
4507001343_00070,Create Purchase Order Item,user_038,464
4507001343_00070,Vendor creates invoice,NONE,504
4507001343_00070,Record Goods Receipt,user_029,511
4507001358_00010,Create Purchase Order Item,user_033,464
4507001358_00010,Receive Order Confirmation,user_029,471
4507001358_00010,Vendor creates invoice,NONE,744
4507001358_00010,Record Goods Receipt,user_035,802
4507001358_00020,Create Purchase Order Item,user_033,464
4507001358_00020,Receive Order Confirmation,user_029,471
4507001358_00020,Vendor creates invoice,NONE,696
4507001358_00020,Record Goods Receipt,user_035,802
4507001371_00030,Create Purchase Order Item,user_164,466
4507001371_00030,Record Goods Receipt,user_173,806
4507001374_00010,Create Purchase Order Item,user_164,465
4507001374_00010,Vendor creates invoice,NONE,504
4507001374_00010,Record Goods Receipt,batch_12,521
4507001374_00020,Create Purchase Order Item,user_164,465
4507001374_00020,Change Price,user_172,470
4507001374_00020,Change Quantity,user_172,470
4507001374_00020,Vendor creates invoice,NONE,504
4507001374_00020,Record Goods Receipt,batch_12,521
4507001379_00010,Create Purchase Order Item,user_164,465
4507001379_00010,Record Goods Receipt,batch_12,683
4507001379_00020,Create Purchase Order Item,user_164,465
4507001379_00020,Record Goods Receipt,batch_12,683
4507001379_00030,Create Purchase Order Item,user_164,465
4507001379_00030,Record Goods Receipt,batch_12,683
4507001379_00040,Create Purchase Order Item,user_164,466
4507001379_00040,Record Goods Receipt,user_173,806
4507001388_00060,Create Purchase Order Item,user_164,465
4507001388_00060,Record Goods Receipt,user_173,807
4507001389_00050,Create Purchase Order Item,user_164,465
4507001389_00050,Vendor creates invoice,NONE,744
4507001389_00050,Record Goods Receipt,user_173,806
4507001393_00010,Create Purchase Order Item,user_172,466
4507001393_00010,Change Quantity,user_172,518
4507001393_00010,Vendor creates invoice,NONE,696
4507001393_00010,Record Goods Receipt,batch_12,703
4507001399_00030,Create Purchase Order Item,user_172,466
4507001399_00030,Vendor creates invoice,NONE,744
4507001399_00030,Record Goods Receipt,user_173,807
4507001411_00040,Create Purchase Order Item,user_172,466
4507001411_00040,Record Goods Receipt,user_172,6518
4507001412_00020,Create Purchase Order Item,user_172,466
4507001412_00020,Record Goods Receipt,user_173,807
4507001414_00010,Create Purchase Order Item,user_172,466
4507001414_00010,Vendor creates invoice,NONE,552
4507001414_00010,Record Goods Receipt,batch_12,678
4507001414_00020,Create Purchase Order Item,user_172,466
4507001414_00020,Vendor creates invoice,NONE,552
4507001414_00020,Record Goods Receipt,batch_12,678
4507001414_00030,Create Purchase Order Item,user_172,466
4507001414_00030,Vendor creates invoice,NONE,504
4507001414_00030,Record Goods Receipt,batch_12,641
4507001414_00040,Create Purchase Order Item,user_172,466
4507001414_00040,Vendor creates invoice,NONE,504
4507001414_00040,Record Goods Receipt,batch_12,641
4507001418_00010,Create Purchase Requisition Item,user_154,456
4507001418_00010,Create Purchase Order Item,user_142,466
4507001418_00010,Change Price,user_142,471
4507001418_00010,Change Quantity,user_142,471
4507001418_00010,Vendor creates invoice,NONE,864
4507001418_00010,Record Goods Receipt,user_080,878
4507001421_00010,Create Purchase Requisition Item,user_154,456
4507001421_00010,Create Purchase Order Item,user_142,466
4507001421_00010,Vendor creates invoice,NONE,648
4507001421_00010,Record Goods Receipt,user_080,659
4507001456_00010,Create Purchase Order Item,user_216,468
4507001456_00010,Change Quantity,user_216,729
4507001456_00010,Record Goods Receipt,batch_02,858
4507001456_00020,Create Purchase Order Item,user_216,468
4507001456_00020,Record Goods Receipt,batch_02,858
4507001456_00030,Create Purchase Order Item,user_216,468
4507001456_00030,Change Quantity,user_216,729
4507001456_00030,Record Goods Receipt,batch_02,859
4507001507_00010,Create Purchase Order Item,user_192,472
4507001507_00010,Record Goods Receipt,user_188,562
4507001507_00020,Create Purchase Order Item,user_192,472
4507001507_00020,Record Goods Receipt,user_188,562
4507001507_00030,Create Purchase Order Item,user_192,472
4507001507_00030,Record Goods Receipt,user_188,562
4507001507_00040,Create Purchase Order Item,user_192,472
4507001507_00040,Record Goods Receipt,user_188,562
4507001509_00010,Create Purchase Order Item,user_192,473
4507001509_00010,Record Goods Receipt,user_188,562
4507001567_00010,Create Purchase Order Item,user_040,487
4507001567_00010,Vendor creates invoice,NONE,528
4507001567_00010,Record Goods Receipt,user_029,569
4507001567_00030,Create Purchase Order Item,user_040,487
4507001567_00030,Vendor creates invoice,NONE,528
4507001567_00030,Record Goods Receipt,user_029,569
4507001567_00040,Create Purchase Order Item,user_040,487
4507001567_00040,Vendor creates invoice,NONE,528
4507001567_00040,Record Goods Receipt,user_029,569
4507001567_00050,Create Purchase Order Item,user_040,487
4507001567_00050,Vendor creates invoice,NONE,528
4507001567_00050,Record Goods Receipt,user_029,569
4507001567_00060,Create Purchase Order Item,user_040,487
4507001567_00060,Vendor creates invoice,NONE,528
4507001567_00060,Record Goods Receipt,user_029,569
4507001567_00070,Create Purchase Order Item,user_040,487
4507001567_00070,Vendor creates invoice,NONE,528
4507001567_00070,Record Goods Receipt,user_029,569
4507001567_00080,Create Purchase Order Item,user_040,487
4507001567_00080,Vendor creates invoice,NONE,528
4507001567_00080,Record Goods Receipt,user_029,569
4507001567_00090,Create Purchase Order Item,user_040,487
4507001567_00090,Vendor creates invoice,NONE,672
4507001567_00090,Record Goods Receipt,user_029,689
4507001569_00010,Create Purchase Order Item,user_040,487
4507001569_00010,Vendor creates invoice,NONE,528
4507001569_00010,Record Goods Receipt,batch_02,563
4507001569_00020,Create Purchase Order Item,user_040,487
4507001569_00020,Vendor creates invoice,NONE,528
4507001569_00020,Record Goods Receipt,batch_02,563
4507001569_00030,Create Purchase Order Item,user_040,487
4507001569_00030,Vendor creates invoice,NONE,528
4507001569_00030,Record Goods Receipt,user_029,562
4507001596_00120,Create Purchase Order Item,user_036,488
4507001596_00120,Vendor creates invoice,NONE,552
4507001596_00120,Record Goods Receipt,user_029,641
4507001628_00010,Create Purchase Order Item,user_147,489
4507001628_00010,Record Goods Receipt,user_130,998
4507001632_00020,Create Purchase Order Item,batch_02,490
4507001632_00020,Record Goods Receipt,user_144,567
4507001633_00010,Create Purchase Order Item,batch_02,490
4507001633_00010,Record Goods Receipt,user_144,567
4507001635_00010,Create Purchase Order Item,batch_02,490
4507001635_00010,Record Goods Receipt,user_144,518
4507001635_00030,Create Purchase Order Item,batch_02,490
4507001635_00030,Record Goods Receipt,user_144,518
4507001729_00010,Create Purchase Order Item,user_091,493
4507001729_00010,Vendor creates invoice,NONE,1032
4507001729_00010,Record Goods Receipt,user_031,1140
4507001731_00010,Create Purchase Order Item,user_147,493
4507001731_00010,Vendor creates invoice,NONE,912
4507001731_00010,Record Goods Receipt,user_130,1019
4507001773_00010,Create Purchase Order Item,user_091,494
4507001773_00010,Vendor creates invoice,NONE,888
4507001773_00010,Record Goods Receipt,user_031,973
4507001775_00010,Create Purchase Order Item,user_091,494
4507001775_00010,Vendor creates invoice,NONE,1056
4507001775_00010,Record Goods Receipt,user_031,1143
4507001782_00010,Create Purchase Order Item,user_091,495
4507001782_00010,Vendor creates invoice,NONE,984
4507001782_00010,Record Goods Receipt,user_031,1167
4507001787_00010,Create Purchase Order Item,user_091,495
4507001787_00010,Vendor creates invoice,NONE,1008
4507001787_00010,Record Goods Receipt,user_031,1068
4507001794_00010,Create Purchase Order Item,user_091,495
4507001794_00010,Vendor creates invoice,NONE,1032
4507001794_00010,Record Goods Receipt,user_031,1067
4507001797_00010,Create Purchase Order Item,user_091,495
4507001797_00010,Vendor creates invoice,NONE,1056
4507001797_00010,Record Goods Receipt,user_031,1145
4507001800_00010,Create Purchase Order Item,user_091,495
4507001800_00010,Vendor creates invoice,NONE,1008
4507001800_00010,Record Goods Receipt,user_031,1045
4507001819_00020,Create Purchase Order Item,user_192,495
4507001819_00020,Change Price,user_039,875
4507001819_00020,Record Goods Receipt,user_188,1142
4507001819_00040,Create Purchase Order Item,user_192,495
4507001819_00040,Record Goods Receipt,user_188,689
4507001819_00050,Create Purchase Order Item,user_192,495
4507001819_00050,Change Price,user_039,875
4507001819_00050,Record Goods Receipt,user_188,1142
4507001819_00100,Create Purchase Order Item,user_192,495
4507001819_00100,Record Goods Receipt,user_188,1142
4507001822_00020,Create Purchase Order Item,user_192,495
4507001822_00020,Record Goods Receipt,user_188,639
4507001841_00010,Create Purchase Order Item,user_079,496
4507001841_00010,Vendor creates invoice,NONE,1176
4507001841_00010,Record Goods Receipt,user_094,1211
4507001842_00080,Create Purchase Order Item,user_192,496
4507001842_00080,Record Goods Receipt,user_188,973
4507001842_00090,Create Purchase Order Item,user_192,496
4507001842_00090,Record Goods Receipt,user_188,973
4507001873_00010,Create Purchase Order Item,user_147,502
4507001873_00010,Record Goods Receipt,user_130,1192
4507001873_00110,Create Purchase Order Item,user_147,502
4507001873_00110,Record Goods Receipt,user_130,806
4507001873_00120,Create Purchase Order Item,user_147,502
4507001873_00120,Record Goods Receipt,user_130,828
4507001873_00130,Create Purchase Order Item,user_147,502
4507001873_00130,Record Goods Receipt,user_130,683
4507001904_00010,Create Purchase Order Item,user_038,511
4507001904_00010,Vendor creates invoice,NONE,552
4507001904_00010,Record Goods Receipt,user_029,562
4507001904_00100,Create Purchase Order Item,user_038,511
4507001904_00100,Vendor creates invoice,NONE,552
4507001904_00100,Record Goods Receipt,user_029,562
4507001904_00130,Create Purchase Order Item,user_038,511
4507001904_00130,Change Price,user_038,514
4507001904_00130,Vendor creates invoice,NONE,552
4507001904_00130,Record Goods Receipt,user_029,562
4507001904_00140,Create Purchase Order Item,user_038,511
4507001904_00140,Vendor creates invoice,NONE,552
4507001904_00140,Record Goods Receipt,user_029,562
4507001949_00010,Create Purchase Order Item,user_042,512
4507001949_00010,Record Goods Receipt,user_029,569
4507001968_00270,Create Purchase Order Item,user_045,512
4507001968_00270,Vendor creates invoice,NONE,552
4507001968_00270,Record Goods Receipt,user_047,657
4507002008_00010,Create Purchase Order Item,user_068,514
4507002008_00010,Vendor creates invoice,NONE,1536
4507002008_00010,Change Quantity,user_207,1571
4507002008_00010,Record Goods Receipt,user_207,1571
4507002015_00010,Create Purchase Order Item,user_138,514
4507002015_00010,Record Goods Receipt,user_138,514
4507002028_00010,Create Purchase Order Item,user_192,515
4507002028_00010,Record Goods Receipt,user_188,562
4507002046_00010,Create Purchase Order Item,user_142,515
4507002046_00010,Vendor creates invoice,NONE,672
4507002046_00010,Record Goods Receipt,user_080,686
4507002046_00020,Create Purchase Order Item,user_142,515
4507002046_00020,Vendor creates invoice,NONE,840
4507002046_00020,Record Goods Receipt,user_080,874
4507002046_00070,Create Purchase Order Item,user_142,515
4507002046_00070,Vendor creates invoice,NONE,672
4507002046_00070,Record Goods Receipt,user_080,686
4507002046_00150,Create Purchase Order Item,user_142,515
4507002046_00150,Vendor creates invoice,NONE,672
4507002046_00150,Record Goods Receipt,user_080,686
4507002046_00160,Create Purchase Order Item,user_142,515
4507002046_00160,Vendor creates invoice,NONE,672
4507002046_00160,Record Goods Receipt,user_080,686
4507002079_00010,Create Purchase Order Item,user_141,516
4507002079_00010,Vendor creates invoice,NONE,816
4507002079_00010,Record Goods Receipt,user_044,876
